a_candidates_accepted,a_candidates_attribute,a_candidates_filtered_attr_depth,a_candidates_filtered_short_name,a_candidates_filtered_string_exact_path,a_candidates_no_legal_alias,a_candidates_no_net_true_gain,a_candidates_positive_gross_but_negative_net,a_candidates_string_exact_path,a_candidates_total,a_candidates_variable,a_input_origin,a_parse_safe_fallback_masked_chars,a_parse_safe_fallback_used,a_parse_safe_parse_ok,a_text_nonempty,ast_parse_failed,frozen_index,parse_ok,source_id,syntax_error_lineno,syntax_error_msg
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,0,False,frozen:0,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,1,False,frozen:1,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,2,False,frozen:2,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,3,False,frozen:3,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,4,False,frozen:4,9,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,5,False,frozen:5,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,6,False,frozen:6,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,7,False,frozen:7,6,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,8,False,frozen:8,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,9,False,frozen:9,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,10,False,frozen:10,7,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,11,False,frozen:11,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,12,False,frozen:12,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,13,False,frozen:13,4,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,14,False,frozen:14,4,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,15,False,frozen:15,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,16,False,frozen:16,7,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,17,False,frozen:17,6,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,18,False,frozen:18,1,invalid syntax
0,0,0,0,0,0,0,0,0,0,0,after_b_parse_failed_mask_failed,0,True,False,True,True,19,False,frozen:19,1,invalid syntax
