Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
135,"Z.L. Grange","Ranking the risk of animal-to-human spillover for newly discovered viruses",2021,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103994769&origin=inward",1,"2024-06-21 14:45:35","Article","10.1073/pnas.2002324118","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/85103994769",118,15,,,135,45.00,135,1,3,"","",""
112,"N. Akhtar","Advances in Adversarial Attacks and Defenses in Computer Vision: A Survey",2021,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119405946&origin=inward",2,"2024-06-21 14:45:35","Review","10.1109/ACCESS.2021.3127960","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85119405946",9,,155161,155196,112,37.33,112,1,3,"","",""
109,"X. Zhao","Upcycling to Sustainably Reuse Plastics",2022,"Advanced Materials","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109735478&origin=inward",3,"2024-06-21 14:45:35","Review","10.1002/adma.202100843","0935-9648","https://api.elsevier.com/content/abstract/scopus_id/85109735478",34,25,,,109,54.50,109,1,2,"","",""
105,"B. Bosch","Genome-wide gene expression tuning reveals diverse vulnerabilities of M. tuberculosis",2021,"Cell","","https://api.elsevier.com/content/article/eid/1-s2.0-S0092867421008242","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112754967&origin=inward",4,"2024-06-21 14:45:35","Article","10.1016/j.cell.2021.06.033","0092-8674","https://api.elsevier.com/content/abstract/scopus_id/85112754967",184,17,4579,4592,105,35.00,105,1,3,"","",""
90,"H. Manghwar","Brassinosteroids (BRs) Role in Plant Development and Coping with Different Stresses",2022,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122854938&origin=inward",5,"2024-06-21 14:45:35","Review","10.3390/ijms23031012","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85122854938",23,3,,,90,45.00,90,1,2,"","",""
89,"N.C. Woitowich","COVID-19 Threatens Progress Toward Gender Equity Within Academic Medicine",2021,"Academic Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104478010&origin=inward",6,"2024-06-21 14:45:35","Article","10.1097/ACM.0000000000003782","1040-2446","https://api.elsevier.com/content/abstract/scopus_id/85104478010",96,6,813,816,89,29.67,89,1,3,"","",""
72,"G. Pantaleo","Antibodies to combat viral infections: development strategies and progress",2022,"Nature Reviews Drug Discovery","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132165637&origin=inward",7,"2024-06-21 14:45:35","Review","10.1038/s41573-022-00495-3","1474-1776","https://api.elsevier.com/content/abstract/scopus_id/85132165637",21,9,676,696,72,36.00,72,1,2,"","",""
68,"H.S. Levin","Association of Sex and Age With Mild Traumatic Brain Injury-Related Symptoms: A TRACK-TBI Study",2021,"JAMA network open","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103996243&origin=inward",8,"2024-06-21 14:45:35","Article","10.1001/jamanetworkopen.2021.3046","2574-3805","https://api.elsevier.com/content/abstract/scopus_id/85103996243",4,4,,,68,22.67,68,1,3,"","",""
60,"D.M. Fleetwood","Radiation Effects in a Post-Moore World",2021,"IEEE Transactions on Nuclear Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100473552&origin=inward",9,"2024-06-21 14:45:35","Article","10.1109/TNS.2021.3053424","0018-9499","https://api.elsevier.com/content/abstract/scopus_id/85100473552",68,5,509,545,60,20.00,60,1,3,"","",""
59,"M.S. Lionakis","Immune responses to human fungal pathogens and therapeutic prospects",2023,"Nature Reviews Immunology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145567797&origin=inward",10,"2024-06-21 14:45:35","Review","10.1038/s41577-022-00826-w","1474-1733","https://api.elsevier.com/content/abstract/scopus_id/85145567797",23,7,433,452,59,59.00,59,1,1,"","",""
59,"J. Gutt","Antarctic ecosystems in transition – life between stresses and opportunities",2021,"Biological Reviews","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097960179&origin=inward",11,"2024-06-21 14:45:35","Article","10.1111/brv.12679","1464-7931","https://api.elsevier.com/content/abstract/scopus_id/85097960179",96,3,798,821,59,19.67,59,1,3,"","",""
57,"M. Räsänen","VEGF-B Promotes Endocardium-Derived Coronary Vessel Development and Cardiac Regeneration",2021,"Circulation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099325019&origin=inward",12,"2024-06-21 14:45:35","Article","10.1161/CIRCULATIONAHA.120.050635","0009-7322","https://api.elsevier.com/content/abstract/scopus_id/85099325019",143,1,65,77,57,19.00,57,1,3,"","",""
54,"N. Ebrahimi","Crosstalk between ferroptosis and the epithelial-mesenchymal transition: Implications for inflammation and cancer therapy",2022,"Cytokine and Growth Factor Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S1359610122000065","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125334717&origin=inward",13,"2024-06-21 14:45:35","Review","10.1016/j.cytogfr.2022.01.006","1359-6101","https://api.elsevier.com/content/abstract/scopus_id/85125334717",64,,33,45,54,27.00,54,1,2,"","",""
51,"N.A. Poyarkov","Recent progress in taxonomic studies, biogeographic analysis, and revised checklist of amphibians in Indochina",2021,"Russian Journal of Herpetology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110842051&origin=inward",14,"2024-06-21 14:45:35","Article","10.30906/1026-2296-2021-28-3A-1-110","1026-2296","https://api.elsevier.com/content/abstract/scopus_id/85110842051",28,3,1,110,51,17.00,51,1,3,"","",""
49,"G. Saileshwar","MIRAGE: Mitigating conflict-based cache attacks with a practical fully-associative design",2021,"Proceedings of the 30th USENIX Security Symposium","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114516837&origin=inward",15,"2024-06-21 14:45:35","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/85114516837",,,1379,1396,49,16.33,49,1,3,"","",""
49,"P.D. Cani","Gut microbiota and host metabolism: From proof of concept to therapeutic intervention",2021,"Microorganisms","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108139410&origin=inward",16,"2024-06-21 14:45:35","Review","10.3390/microorganisms9061302","2076-2607","https://api.elsevier.com/content/abstract/scopus_id/85108139410",9,6,,,49,16.33,49,1,3,"","",""
44,"A. Malik","An Efficient Dynamic Solution for the Detection and Prevention of Black Hole Attack in VANETs",2022,"Sensors (Basel, Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126399100&origin=inward",17,"2024-06-21 14:45:35","Article","10.3390/s22051897","1424-8220","https://api.elsevier.com/content/abstract/scopus_id/85126399100",22,5,,,44,22.00,44,1,2,"","",""
44,"S.A. Samerei","Data mining approach to model bus crash severity in Australia",2021,"Journal of Safety Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S002243752030150X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098563521&origin=inward",18,"2024-06-21 14:45:35","Article","10.1016/j.jsr.2020.12.004","0022-4375","https://api.elsevier.com/content/abstract/scopus_id/85098563521",76,,73,82,44,14.67,44,1,3,"","",""
43,"G. Fiscon","SAveRUNNER: an R-based tool for drug repurposing",2021,"BMC Bioinformatics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103179032&origin=inward",19,"2024-06-21 14:45:35","Article","10.1186/s12859-021-04076-w","1471-2105","https://api.elsevier.com/content/abstract/scopus_id/85103179032",22,1,,,43,14.33,43,1,3,"","",""
42,"G. Bhandari","CVEfixes: Automated collection of vulnerabilities and their fixes from open-source software",2021,"PROMISE 2021 - Proceedings of the 17th International Conference on Predictive Models and Data Analytics in Software Engineering, co-located with ESEC/FSE 2021","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113649225&origin=inward",20,"2024-06-21 14:45:35","Conference Paper","10.1145/3475960.3475985","","https://api.elsevier.com/content/abstract/scopus_id/85113649225",,,30,39,42,14.00,42,1,3,"","",""
42,"F. Sierra","Moving geroscience from the bench to clinical care and health policy",2021,"Journal of the American Geriatrics Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108336382&origin=inward",21,"2024-06-21 14:45:35","Article","10.1111/jgs.17301","0002-8614","https://api.elsevier.com/content/abstract/scopus_id/85108336382",69,9,2455,2463,42,14.00,42,1,3,"","",""
40,"M.S. Abdalzaher","Comparative Performance Assessments of Machine-Learning Methods for Artificial Seismic Sources Discrimination",2021,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105117516&origin=inward",22,"2024-06-21 14:45:35","Article","10.1109/ACCESS.2021.3076119","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85105117516",9,,65524,65535,40,13.33,40,1,3,"","",""
39,"E.E. West","Complosome — the intracellular complement system",2023,"Nature Reviews Nephrology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152712851&origin=inward",23,"2024-06-21 14:45:35","Review","10.1038/s41581-023-00704-1","1759-5061","https://api.elsevier.com/content/abstract/scopus_id/85152712851",19,7,426,439,39,39.00,39,1,1,"","",""
38,"J.S. Stevens","Brain-Based Biotypes of Psychiatric Vulnerability in the Acute Aftermath of Trauma",2021,"American Journal of Psychiatry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121948205&origin=inward",24,"2024-06-21 14:45:35","Conference Paper","10.1176/appi.ajp.2021.20101526","0002-953X","https://api.elsevier.com/content/abstract/scopus_id/85121948205",178,11,1037,1049,38,12.67,38,1,3,"","",""
38,"M. Ballère","SAR data for tropical forest disturbance alerts in French Guiana: Benefit over optical imagery",2021,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425720305320","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85095601492&origin=inward",25,"2024-06-21 14:45:35","Article","10.1016/j.rse.2020.112159","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/85095601492",252,,,,38,12.67,38,1,3,"","",""
35,"D. Petrovic","The Role of Protein Persulfidation in Brain Aging and Neurodegeneration",2021,"Frontiers in Aging Neuroscience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120164764&origin=inward",26,"2024-06-21 14:45:35","Review","10.3389/fnagi.2021.674135","1663-4365","https://api.elsevier.com/content/abstract/scopus_id/85120164764",13,,,,35,11.67,35,1,3,"","",""
34,"P.T. Fretwell","Discovery of new colonies by Sentinel2 reveals good and bad news for emperor penguins",2021,"Remote Sensing in Ecology and Conservation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088978812&origin=inward",27,"2024-06-21 14:45:35","Article","10.1002/rse2.176","2056-3485","https://api.elsevier.com/content/abstract/scopus_id/85088978812",7,2,139,153,34,11.33,34,1,3,"","",""
33,"R.J. McCrimmon","Consequences of recurrent hypoglycaemia on brain function in diabetes",2021,"Diabetologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102554244&origin=inward",28,"2024-06-21 14:45:35","Review","10.1007/s00125-020-05369-0","0012-186X","https://api.elsevier.com/content/abstract/scopus_id/85102554244",64,5,971,977,33,11.00,33,1,3,"","",""
30,"P. Rajendra Prasad","Securing Energy Routing Protocol Against Black Hole Attacks in Mobile Ad-Hoc Network",2021,"Recent Advances in Computer Science and Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118947060&origin=inward",29,"2024-06-21 14:45:35","Article","10.2174/2666255813666200814171401","2666-2558","https://api.elsevier.com/content/abstract/scopus_id/85118947060",14,9,2843,2853,30,10.00,30,1,3,"","",""
30,"R.L. Carhart-Harris","Can pragmatic research, real-world data and digital technologies aid the development of psychedelic medicine?",2022,"Journal of Psychopharmacology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104847510&origin=inward",30,"2024-06-21 14:45:35","Article","10.1177/02698811211008567","0269-8811","https://api.elsevier.com/content/abstract/scopus_id/85104847510",36,1,6,11,30,15.00,30,1,2,"","",""
28,"S. Gadal","Machine Learning-Based Anomaly Detection Using K-Mean Array and Sequential Minimal Optimization",2022,"Electronics (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137202354&origin=inward",31,"2024-06-21 14:45:35","Article","10.3390/electronics11142158","2079-9292","https://api.elsevier.com/content/abstract/scopus_id/85137202354",11,14,,,28,14.00,28,1,2,"","",""
28,"J. Kelly-Brown","Intersectionality in cancer care: A systematic review of current research and future directions",2022,"Psycho-Oncology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125067882&origin=inward",32,"2024-06-21 14:45:35","Review","10.1002/pon.5890","1057-9249","https://api.elsevier.com/content/abstract/scopus_id/85125067882",31,5,705,716,28,14.00,28,1,2,"","",""
26,"T. Heurtaux","Normal and Pathological NRF2 Signalling in the Central Nervous System",2022,"Antioxidants","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85137316498&origin=inward",33,"2024-06-21 14:45:35","Review","10.3390/antiox11081426","2076-3921","https://api.elsevier.com/content/abstract/scopus_id/85137316498",11,8,,,26,13.00,26,1,2,"","",""
24,"K. Sanachai","Discovery of novel JAK2 and EGFR inhibitors from a series of thiazole-based chalcone derivatives",2021,"RSC Medicinal Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103724021&origin=inward",34,"2024-06-21 14:45:35","Article","10.1039/d0md00436g","2632-8682","https://api.elsevier.com/content/abstract/scopus_id/85103724021",12,3,430,438,24,8.00,24,1,3,"","",""
24,"C. Harrop","A lost generation? The impact of the COVID-19 pandemic on early career ASD researchers",2021,"Autism Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102924939&origin=inward",35,"2024-06-21 14:45:35","Note","10.1002/aur.2503","1939-3792","https://api.elsevier.com/content/abstract/scopus_id/85102924939",14,6,1078,1087,24,8.00,24,1,3,"","",""
24,"M. Wu","Magnetic mesoporous silica nanoparticles-aided dual MR/NIRF imaging to identify macrophage enrichment in atherosclerotic plaques",2021,"Nanomedicine: Nanotechnology, Biology, and Medicine","","https://api.elsevier.com/content/article/eid/1-s2.0-S1549963420301842","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097586333&origin=inward",36,"2024-06-21 14:45:35","Article","10.1016/j.nano.2020.102330","1549-9634","https://api.elsevier.com/content/abstract/scopus_id/85097586333",32,,,,24,8.00,24,1,3,"","",""
23,"X. Yuan","Deep Neural Embedding for Software Vulnerability Discovery: Comparison and Optimization",2022,"Security and Communication Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124145032&origin=inward",37,"2024-06-21 14:45:35","Article","10.1155/2022/5203217","1939-0114","https://api.elsevier.com/content/abstract/scopus_id/85124145032",2022,,,,23,11.50,23,1,2,"","",""
22,"N. Parvaiz","Discovery of beta-lactamase CMY-10 inhibitors for combination therapy against multi-drug resistant Enterobacteriaceae",2021,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099853706&origin=inward",38,"2024-06-21 14:45:35","Article","10.1371/journal.pone.0244967","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85099853706",16,1,,,22,7.33,22,1,3,"","",""
21,"R.N. Nagoshi","Genetic studies of fall armyworm indicate a new introduction into Africa and identify limits to its migratory behavior",2022,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124174046&origin=inward",39,"2024-06-21 14:45:35","Article","10.1038/s41598-022-05781-z","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85124174046",12,1,,,21,10.50,21,1,2,"","",""
21,"M. Fang","Data poisoning attacks and defenses to crowdsourcing systems",2021,"The Web Conference 2021 - Proceedings of the World Wide Web Conference, WWW 2021","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107968123&origin=inward",40,"2024-06-21 14:45:35","Conference Paper","10.1145/3442381.3450066","","https://api.elsevier.com/content/abstract/scopus_id/85107968123",,,969,980,21,7.00,21,1,3,"","",""
21,"X. Li","Mechanisms of oxidative stress in methylmercury-induced neurodevelopmental toxicity",2021,"NeuroToxicology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0161813X21000474","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105336892&origin=inward",41,"2024-06-21 14:45:35","Review","10.1016/j.neuro.2021.05.002","0161-813X","https://api.elsevier.com/content/abstract/scopus_id/85105336892",85,,33,46,21,7.00,21,1,3,"","",""
21,"C.K. Lam","Clinical Trial in a Dish: Using Patient-Derived Induced Pluripotent Stem Cells to Identify Risks of Drug-Induced Cardiotoxicity",2021,"Arteriosclerosis, Thrombosis, and Vascular Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102321909&origin=inward",42,"2024-06-21 14:45:35","Article","10.1161/ATVBAHA.120.314695","1079-5642","https://api.elsevier.com/content/abstract/scopus_id/85102321909",41,3,1019,1031,21,7.00,21,1,3,"","",""
21,"S.M. Ghaffarian","Neural software vulnerability analysis using rich intermediate graph representations of programs",2021,"Information Sciences","","https://api.elsevier.com/content/article/eid/1-s2.0-S0020025520311579","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098990467&origin=inward",43,"2024-06-21 14:45:35","Article","10.1016/j.ins.2020.11.053","0020-0255","https://api.elsevier.com/content/abstract/scopus_id/85098990467",553,,189,207,21,7.00,21,1,3,"","",""
20,"K. Linka","Automated model discovery for human brain using Constitutive Artificial Neural Networks",2023,"Acta Biomaterialia","","https://api.elsevier.com/content/article/eid/1-s2.0-S1742706123000661","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85147380215&origin=inward",44,"2024-06-21 14:45:35","Article","10.1016/j.actbio.2023.01.055","1742-7061","https://api.elsevier.com/content/abstract/scopus_id/85147380215",160,,134,151,20,20.00,20,1,1,"","",""
20,"N. Jariwala","Matrikines as mediators of tissue remodelling",2022,"Advanced Drug Delivery Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S0169409X22001302","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128621549&origin=inward",45,"2024-06-21 14:45:35","Review","10.1016/j.addr.2022.114240","0169-409X","https://api.elsevier.com/content/abstract/scopus_id/85128621549",185,,,,20,10.00,20,1,2,"","",""
20,"A. García-Cazorla","Genetic disorders of cellular trafficking",2022,"Trends in Genetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168952522000397","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127345246&origin=inward",46,"2024-06-21 14:45:35","Review","10.1016/j.tig.2022.02.012","0168-9525","https://api.elsevier.com/content/abstract/scopus_id/85127345246",38,7,724,751,20,10.00,20,1,2,"","",""
20,"V.J. Dzau","Revisiting academic health sciences systems a decade later: discovery to health to population to society",2021,"The Lancet","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140673621017529","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121767276&origin=inward",47,"2024-06-21 14:45:35","Review","10.1016/S0140-6736(21)01752-9","0140-6736","https://api.elsevier.com/content/abstract/scopus_id/85121767276",398,10318,2300,2304,20,6.67,20,1,3,"","",""
20,"S. Pires Monteiro","Neuroprotective effect of hypoxic preconditioning and neuronal activation in a in vitro human model of the ischemic penumbra",2021,"Journal of Neural Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85103228219&origin=inward",48,"2024-06-21 14:45:35","Article","10.1088/1741-2552/abe68a","1741-2560","https://api.elsevier.com/content/abstract/scopus_id/85103228219",18,3,,,20,6.67,20,1,3,"","",""
19,"E. Batista","A uniformization-based approach to preserve individuals’ privacy during process mining analyses",2021,"Peer-to-Peer Networking and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100163459&origin=inward",49,"2024-06-21 14:45:35","Article","10.1007/s12083-020-01059-1","1936-6442","https://api.elsevier.com/content/abstract/scopus_id/85100163459",14,3,1500,1519,19,6.33,19,1,3,"","",""
18,"C.Y. Chen","Review of large power grid vulnerability based on complex network theory",2022,"Kongzhi yu Juece/Control and Decision","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125467665&origin=inward",50,"2024-06-21 14:45:35","Review","10.13195/j.kzyjc.2021.0126","1001-0920","https://api.elsevier.com/content/abstract/scopus_id/85125467665",37,4,782,798,18,9.00,18,1,2,"","",""
18,"M.S. Tok","Security analysis of SDN controller-based DHCP services and attack mitigation with DHCPguard",2021,"Computers and Security","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167404821002182","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111002335&origin=inward",51,"2024-06-21 14:45:35","Article","10.1016/j.cose.2021.102394","0167-4048","https://api.elsevier.com/content/abstract/scopus_id/85111002335",109,,,,18,6.00,18,1,3,"","",""
17,"N.A. Poyarkov","RECENT PROGRESS IN TAXONOMIC STUDIES, BIOGEOGRAPHIC ANALYSIS, AND REVISED CHECKLIST OF REPTILES IN INDOCHINA",2023,"Russian Journal of Herpetology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85165377067&origin=inward",52,"2024-06-21 14:45:35","Article","10.30906/1026-2296-2023-30-5-255-476","1026-2296","https://api.elsevier.com/content/abstract/scopus_id/85165377067",30,5,255,476,17,17.00,17,1,1,"","",""
17,"M.A. Al-Shareeda","Proposed security mechanism for preventing fake router advertisement attack in IPv6 link-local network",2023,"Indonesian Journal of Electrical Engineering and Computer Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85141861277&origin=inward",53,"2024-06-21 14:45:35","Article","10.11591/ijeecs.v29.i1.pp518-526","2502-4752","https://api.elsevier.com/content/abstract/scopus_id/85141861277",29,1,518,526,17,17.00,17,1,1,"","",""
17,"P.S.P. Hung","Differential expression of a brain aging biomarker across discrete chronic pain disorders",2022,"Pain","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134632311&origin=inward",54,"2024-06-21 14:45:35","Article","10.1097/j.pain.0000000000002613","0304-3959","https://api.elsevier.com/content/abstract/scopus_id/85134632311",163,8,1468,1478,17,8.50,17,1,2,"","",""
17,"C.M. Kaplan","Neurobiological antecedents of multisite pain in children",2022,"Pain","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125719212&origin=inward",55,"2024-06-21 14:45:35","Article","10.1097/j.pain.0000000000002431","0304-3959","https://api.elsevier.com/content/abstract/scopus_id/85125719212",163,4,,,17,8.50,17,1,2,"","",""
17,"S. Ncube","Trace Detection and Quantitation of Antibiotics in a South African Stream Receiving Wastewater Effluents and Municipal Dumpsite Leachates",2021,"Frontiers in Environmental Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114615387&origin=inward",56,"2024-06-21 14:45:35","Article","10.3389/fenvs.2021.733065","2296-665X","https://api.elsevier.com/content/abstract/scopus_id/85114615387",9,,,,17,5.67,17,1,3,"","",""
17,"L.A. McAlarnen","Virtual visits among gynecologic oncology patients during the COVID-19 pandemic are accessible across the social vulnerability spectrum",2021,"Gynecologic Oncology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0090825821003577","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105799766&origin=inward",57,"2024-06-21 14:45:35","Article","10.1016/j.ygyno.2021.04.037","0090-8258","https://api.elsevier.com/content/abstract/scopus_id/85105799766",162,1,4,11,17,5.67,17,1,3,"","",""
16,"M. Rella Riccardi","Econometric and Machine Learning Methods to Identify Pedestrian Crash Patterns",2022,"Sustainability (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142697831&origin=inward",58,"2024-06-21 14:45:35","Article","10.3390/su142215471","2071-1050","https://api.elsevier.com/content/abstract/scopus_id/85142697831",14,22,,,16,8.00,16,1,2,"","",""
16,"T. Sasaki","Exposed Infrastructures: Discovery, Attacks and Remediation of Insecure ICS Remote Management Devices",2022,"Proceedings - IEEE Symposium on Security and Privacy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135877899&origin=inward",59,"2024-06-21 14:45:35","Conference Paper","10.1109/SP46214.2022.9833730","1081-6011","https://api.elsevier.com/content/abstract/scopus_id/85135877899",2022,,2379,2396,16,8.00,16,1,2,"","",""
16,"R. Shi","High-throughput glycolytic inhibitor discovery targeting glioblastoma by graphite dots–assisted LDI mass spectrometry",2022,"Science Advances","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124777205&origin=inward",60,"2024-06-21 14:45:35","Article","10.1126/sciadv.abl4923","2375-2548","https://api.elsevier.com/content/abstract/scopus_id/85124777205",8,7,,,16,8.00,16,1,2,"","",""
16,"S. Gaire","Individual protective covers (IPCs) to prevent Asian citrus psyllid and Candidatus Liberibacter asiaticus from establishing in newly planted citrus trees",2022,"Crop Protection","","https://api.elsevier.com/content/article/eid/1-s2.0-S026121942100332X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119201428&origin=inward",61,"2024-06-21 14:45:35","Article","10.1016/j.cropro.2021.105862","0261-2194","https://api.elsevier.com/content/abstract/scopus_id/85119201428",152,,,,16,8.00,16,1,2,"","",""
